지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm)
115,울릉도독도(감),2021-02-04,421.9675565
115,울릉도독도(감),2021-02-05,423.5805788
115,울릉도독도(감),2021-02-06,425.6970246
115,울릉도독도(감),2021-02-07,427.0847038
115,울릉도독도(감),2021-02-08,426.2221948
115,울릉도독도(감),2021-02-09,426.1552493
115,울릉도독도(감),2021-02-11,428.3094743
115,울릉도독도(감),2021-02-12,427.3968776
115,울릉도독도(감),2021-02-13,426.1630838
115,울릉도독도(감),2021-02-15,422.3482545
115,울릉도독도(감),2021-02-16,423.9363927
115,울릉도독도(감),2021-02-17,426.0078049
115,울릉도독도(감),2021-02-18,424.5233574
115,울릉도독도(감),2021-02-22,424.8948213
115,울릉도독도(감),2021-02-23,426.2824772
115,울릉도독도(감),2021-02-24,423.7775074
115,울릉도독도(감),2021-02-25,424.2012024
115,울릉도독도(감),2021-02-26,423.6114525
115,울릉도독도(감),2021-02-27,423.1081721
115,울릉도독도(감),2021-02-28,421.3110636
115,울릉도독도(감),2021-03-01,423.5368537
115,울릉도독도(감),2021-03-02,423.5113827
115,울릉도독도(감),2021-03-03,422.7597798
115,울릉도독도(감),2021-03-04,423.1240651
115,울릉도독도(감),2021-03-05,421.5354501
115,울릉도독도(감),2021-03-06,422.3827397
115,울릉도독도(감),2021-03-07,421.3556751
115,울릉도독도(감),2021-03-08,421.2600465
115,울릉도독도(감),2021-03-09,421.1120006
115,울릉도독도(감),2021-03-10,422.0409074
115,울릉도독도(감),2021-03-11,422.3928479
115,울릉도독도(감),2021-03-12,422.4577627
115,울릉도독도(감),2021-03-13,422.0002047
115,울릉도독도(감),2021-03-16,423.7004409
115,울릉도독도(감),2021-03-17,424.4888104
115,울릉도독도(감),2021-03-18,424.7557421
115,울릉도독도(감),2021-03-19,423.6792953
115,울릉도독도(감),2021-03-20,423.8730783
115,울릉도독도(감),2021-03-21,425.7980596
115,울릉도독도(감),2021-03-22,425.19208
115,울릉도독도(감),2021-03-23,425.9745168
115,울릉도독도(감),2021-03-26,425.4637942
115,울릉도독도(감),2021-03-27,426.0261641
115,울릉도독도(감),2021-03-30,423.851544
115,울릉도독도(감),2021-03-31,423.9082269
115,울릉도독도(감),2021-04-01,424.9181696
115,울릉도독도(감),2021-04-04,423.8162405
