년,월,일,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),최대전력기준일시
2013,04,19,83465,67906,61310,6596,10.8,2013/04/19(11:00)
2013,04,18,83465,67381,61499,5882,9.6,2013/04/18(11:00)
2013,04,17,83465,67742,61925,5817,9.4,2013/04/17(11:00)
2013,04,16,83295,68267,61632,6635,10.8,2013/04/16(11:00)
2013,04,15,83295,68457,63318,5139,8.1,2013/04/15(11:00)
2013,04,14,83295,66093,53790,12303,22.9,2013/04/14(23:00)
2013,04,13,83295,67062,56491,10571,18.7,2013/04/13(01:00)
2013,04,12,83295,69195,63704,5491,8.6,2013/04/12(11:00)
2013,04,11,83295,69737,64092,5645,8.8,2013/04/11(11:00)
2013,04,10,83295,69345,64054,5291,8.3,2013/04/10(11:00)
2013,04,09,83295,69454,64098,5356,8.4,2013/04/09(20:00)
2013,04,08,83295,69370,63306,6064,9.6,2013/04/08(11:00)
2013,04,07,83295,68867,54491,14376,26.4,2013/04/07(23:00)
2013,04,06,83295,68732,57295,11437,20,2013/04/06(12:00)
2013,04,05,83295,69187,60601,8586,14.2,2013/04/05(11:00)
2013,04,04,83295,69894,62740,7154,11.4,2013/04/04(10:00)
2013,04,03,83295,69889,63906,5983,9.4,2013/04/03(10:00)
2013,04,02,83295,70225,64872,5353,8.3,2013/04/02(10:00)
2013,04,01,83295,69997,63611,6386,10,2013/04/01(11:00)
2013,03,31,83295,70153,54007,16146,29.9,2013/03/31(23:00)
2013,03,30,83295,68269,56973,11296,19.8,2013/03/30(11:00)
2013,03,29,83295,71644,63768,7876,12.4,2013/03/29(10:00)
2013,03,28,83295,71507,63891,7616,11.9,2013/03/28(10:00)
2013,03,27,83295,71498,64627,6871,10.6,2013/03/27(10:00)
2013,03,26,83295,72349,66106,6243,9.4,2013/03/26(10:00)
2013,03,25,83295,72352,65718,6634,10.1,2013/03/25(11:00)
2013,03,24,83295,71357,54589,16768,30.7,2013/03/24(23:00)
2013,03,23,83295,69949,58514,11435,19.5,2013/03/23(11:00)
2013,03,22,83295,74743,66964,7779,11.6,2013/03/22(11:00)
2013,03,21,82520,74117,67159,6958,10.4,2013/03/21(10:00)
2013,03,20,82520,73897,65952,7945,12,2013/03/20(11:00)
2013,03,19,82520,73645,64275,9370,14.6,2013/03/19(10:00)
2013,03,18,82250,73647,64038,9609,15,2013/03/18(11:00)
2013,03,17,82520,69967,54585,15382,28.2,2013/03/17(23:00)
2013,03,16,82520,71062,58869,12193,20.7,2013/03/16(11:00)
2013,03,15,82520,74939,66752,8187,12.3,2013/03/15(10:00)
2013,03,14,82520,74976,66346,8630,13,2013/03/14(10:00)
2013,03,13,82520,74637,66668,7969,12,2013/03/13(11:00)
2013,03,12,82520,74563,66052,8511,12.9,2013/03/12(10:00)
2013,03,11,82520,74917,66073,8844,13.4,2013/03/11(11:00)
2013,03,10,82520,72899,55328,17571,31.8,2013/03/10(23:00)
2013,03,09,82520,72301,57125,15176,26.6,2013/03/09(11:00)
2013,03,08,82520,75458,66335,9123,13.8,2013/03/08(10:00)
2013,03,07,82520,75324,66035,9289,14.1,2013/03/07(11:00)
2013,03,06,82520,75894,68551,7343,10.7,2013/03/06(10:00)
2013,03,05,82520,76074,69252,6822,9.9,2013/03/05(10:00)
2013,03,04,82520,76523,69653,6870,9.9,2013/03/04(11:00)
2013,03,03,82520,73966,57568,16398,28.5,2013/03/03(23:00)
2013,03,02,82520,73991,60144,13847,23,2013/03/02(24:00)
2013,03,01,82520,74147,61639,12508,20.3,2013/03/01(24:00)
2013,02,28,82296,75904,66378,9526,14.4,2013/02/28(10:00)
2013,02,27,82296,76114,66919,9195,13.7,2013/02/27(10:00)
2013,02,26,82296,76725,69758,6967,10,2013/02/26(11:00)
2013,02,25,82296,76806,69513,7293,10.5,2013/02/25(11:00)
2013,02,24,82296,75013,59503,15510,26.1,2013/02/24(01:00)
2013,02,23,82296,74790,62773,12017,19.1,2013/02/23(11:00)
2013,02,22,82296,77225,70240,6985,9.9,2013/02/22(10:00)
2013,02,21,82296,77022,71294,5728,8,2013/02/21(10:00)
2013,02,20,82296,77534,71826,5708,7.9,2013/02/20(10:00)
2013,02,19,82296,76628,71243,5385,7.6,2013/02/19(10:00)
2013,02,18,82296,75669,70278,5391,7.7,2013/02/18(10:00)
2013,02,17,82296,75216,59718,15498,26,2013/02/17(01:00)
2013,02,16,82296,75072,63952,11120,17.4,2013/02/16(11:00)
2013,02,15,82296,77804,69697,8107,11.6,2013/02/15(10:00)
2013,02,14,82296,77815,71414,6401,9,2013/02/14(10:00)
2013,02,13,82296,77572,70551,7021,10,2013/02/13(10:00)
